Club	clb
Spiked Club	spc
Dagger	dgr
Dirk	dir
Kris	kri
Blade	bld
Maiden Javelin	am5
Maiden Spear	am3
Maiden Pike	am4
Stag Bow	am1
Reflex Bow	am2
Katar	ktr
Wrist Blade	wrb
Hatchet Hands	axf
Cestus	ces
Claws	clw
Blade Talons	btl
Scissors Katar	skr
Scepter	scp
Grand Scepter	gsc
War Scepter	wsp
Short Staff	sst
Long Staff	lst
Gnarled Staff	cst
Battle Staff	bst
War Staff	wst
Wand	wnd
Yew Wand	ywn
Bone Wand	bwn
Grim Wand	gwn
Eagle Orb	ob1
Sacred Globe	ob2
Smoked Sphere	ob3
Clasped Orb	ob4
Jared's Stone	ob5
Cudgel	9cl
Barbed Club	9sp
Poignard	9dg
Rondel	9di
Cinquedeas	9kr
Stiletto	9bl
Ceremonial Javelin	ama
Ceremonial Spear	am8
Ceremonial Pike	am9
Ashwood Bow	am6
Ceremonial Bow	am7
Quhab	9ar
Wrist Spike	9wb
Fascia	9xf
Hand Scythe	9cs
Greater Claws	9lw
Greater Talons	9tw
Scissors Quhab	9qr
Rune Scepter	9sc
Holy Water Sprinkler	9qs
Divine Scepter	9ws
Jo Staff	8ss
Quarterstaff	8ls
Cedar Staff	8cs
Gothic Staff	8bs
Rune Staff	8ws
Burnt Wand	9wn
Petrified Wand	9yw
Tomb Wand	9bw
Grave Wand	9gw
Glowing Orb	ob6
Crystalline Globe	ob7
Cloudy Sphere	ob8
Sparkling Ball	ob9
Swirling Crystal	oba
Truncheon	7cl
Tyrant Club	7sp
Bone Knife	7dg
Mithril Point	7di
Fanged Knife	7kr
Legend Spike	7bl
Matriarchal Javelin	amf
Matriarchal Spear	amd
Matriarchal Pike	ame
Matriarchal Bow	amb
Grand Matron Bow	amc
Suwayyah	7ar
Wrist Sword	7wb
War Fist	7xf
Battle Cestus	7cs
Feral Claws	7lw
Runic Talons	7tw
Scissors Suwayyah	7qr
Mighty Scepter	7sc
Seraph Rod	7qs
Caduceus	7ws
Walking Stick	6ss
Stalagmite	6ls
Elder Staff	6cs
Shillelagh	6bs
Archon Staff	6ws
Polished Wand	7wn
Ghost Wand	7yw
Lich Wand	7bw
Unearthed Wand	7gw
Heavenly Stone	obb
Eldritch Orb	obc
Demon Heart	obd
Vortex Orb	obe
Dimensional Shard	obf
Spiked Shield	spk
Bone Shield	bsh
Targe	pa1
Rondache	pa2
Heraldic Shield	pa3
Aerin Shield	pa4
Crown Shield	pa5
Preserved Head	ne1
Zombie Head	ne2
Unraveller Head	ne3
Gargoyle Head	ne4
Demon Head	ne5
Wolf Head	dr1
Hawk Helm	dr2
Antlers	dr3
Falcon Mask	dr4
Spirit Mask	dr5
Jawbone Cap	ba1
Fanged Helm	ba2
Horned Helm	ba3
Assault Helmet	ba4
Avenger Guard	ba5
Barbed Shield	xpk
Grim Shield	xsh
Akaran Targe	pa6
Akaran Rondache	pa7
Protector Shield	pa8
Gilded Shield	pa9
Royal Shield	paa
Mummified Trophy	ne6
Fetish Trophy	ne7
Sexton Trophy	ne8
Cantor Trophy	ne9
Heirophant Trophy	nea
Alpha Helm	dr6
Griffon Headress	dr7
Hunter's Guise	dr8
Sacred Feathers	dr9
Totemic Mask	dra
Jawbone Visor	ba6
Lion Helm	ba7
Rage Mask	ba8
Savage Helmet	ba9
Slayer Guard	baa
Blade Barrier	upk
Troll Nest	ush
Sacred Targe	pab
Sacred Rondache	pac
Kurast Shield	pad
Zakarum Shield	pae
Vortex Shield	paf
Minion Skull	neb
Hellspawn Skull	neg
Overseer Skull	ned
Succubus Skull	nee
Bloodlord Skull	nef
Blood Spirt	drb
Sun Spirit	drc
Earth Spirit	drd
Sky Spirit	dre
Dream Spirit	drf
Carnage Helm	bab
Fury Visor	bac
Destroyer Helm	bad
Conquerer Crown	bae
Guardian Crown	baf
