Affix	Affix Item Types	Filter Definition	magic only	group	Stat	Min Value	Max Value	Attribute Description
Divinity	Rod, Missile Weapon, Amulet, Chest	(STAFF OR WAND OR SCEPTER OR BOW OR XBOW OR amu OR CHEST)		25	STAT89;AR	5;120	5;240	+5 to Light Radius, +[120-240] to Attack Rating
Radiance	Rod, Missile Weapon, Helm, Chest, Quiver	QUIVER		25	STAT89;AR	3;30	3;60	+3 to Light Radius, +[30-60] to Attack Rating
Clarity	Rod, Missile Weapon, Amulet, Helm, Chest, Ring	(HELM OR rin)		25	STAT89;AR	4;60	4;120	+4 to Light Radius, +[60-120] to Attack Rating
Sun	Rod, Missile Weapon, Gloves, Ring, Amulet, Helm, Chest	(STAFF OR WAND OR SCEPTER OR GLOVES OR rin OR amu OR HELM OR CHEST)		25	STAT89;ARPER	5;10	5;20	+5 to Light Radius, [10-20]% Bonus to Attack Rating
Precision	Amulet, Missile Weapon, Circlet, Quiver, Helm, Chest, Boots, Shield, Ring, Gloves	(amu OR BOW OR XBOW OR CIRC OR QUIVER OR HELM OR CHEST OR BOOTS OR SHIELD OR rin OR GLOVES)		17	DEX	10	15	+[10-15] to Dexterity
Nirvana	Amulet, Missile Weapon, Circlet, Helm, Shield, Chest	(amu OR BOW OR XBOW OR CIRC OR HELM OR SHIELD OR CHEST)		17	DEX	21	30	+[21-30] to Dexterity
Deflecting	Shield	SHIELD		8	STAT20;FBR	20;30	20;30	20% Increased Chance of Blocking, +30% Faster Block Rate
Apprentice	Rod, Ring, Amulet, Orb, Circlet, Club, Gloves, Belt	(STAFF OR WAND OR SCEPTER OR rin OR amu OR SOR OR CIRC OR CLUB OR GLOVES OR BELT)		9	FCR	10	10	+10% Faster Cast Rate
Magus	Rod, Orb, Circlet, Club, Chest, Shield, Paladin Shield	(STAFF OR WAND OR SCEPTER OR SOR OR CIRC OR CLUB OR CHEST OR SHIELD OR DIN)		9	FCR	20	20	+20% Faster Cast Rate
Archmage	non-Staff Rods, Orb, Club	(WAND OR SCEPTER OR SOR OR CLUB)		9	FCR	30	30	+30% Faster Cast Rate
Archmage	Staff	STAFF		9	FCR	40	40	+40% Faster Cast Rate
Balance	Non-Gloves Armor, Helm, Shield	(ARMOR !GLOVES)		18	FHR	10	10	+10% Faster Hit Recovery
Stability	Chest, Belt, Helm, Shield	(CHEST OR BELT OR SHIELD OR HELM)		18	FHR	24	24	+24% Faster Hit Recovery
Haste	Amazon Weapon, Quiver	(ZON OR QUIVER)		35	FRW	20	20	+20% Faster Run/Walk
Speed	Boots, Circlet	(BOOTS OR CIRC)		35	FRW	30	30	+30% Faster Run/Walk
Transportation	Boots	BOOTS		35	FRW;STAT154	30;80	30;90	+30% Faster Run/Walk, [80-90]% Slower Stamina Drain
Greed	Ring, Amulet, Circlet, Quiver	(rin OR amu OR CIRC OR QUIVER)		21	GFIND	25	40	[25-40]% Extra Gold from Monsters
Wealth	Boots, Gloves, Belt, Amulet, Circlet, Quiver	(BOOTS OR GLOVES OR BELT OR amu OR CIRC OR QUIVER)		21	GFIND	41	80	[41-80]% Extra Gold from Monsters
Alacrity	WeaponPS, Quiver, Gloves	((WEAPON !SOR !WAND) OR QUIVER OR GLOVES)		7	IAS	20	20	+20% Increased Attack Speed
Quickness	Melee WeaponP, Missile Weapon	(WEAPON !STAFF !WAND !SOR)		7	IAS	40	40	+40% Increased Attack Speed
Mammoth	Chest, Belt, Amulet, Barbarian Helm, Circlet, Quiver, Any Mace, Ring, Helm	(QUIVER OR MACE OR rin OR (HELM !CLASS))		26	LIFE	31	40	+[31-40] to Life
Colossus	Chest, Belt, Amulet, Barbarian Helm, Circlet, Shield, Druid Helm	(amu OR DRU)		26	LIFE	41	60	+[41-60] to Life
Whale	Chest, Belt, Barbarian Helm, Circlet, Shield	(CHEST OR BELT OR BAR OR CIRC OR SHIELD)		26	LIFE	81	100	+[81-100] to Life
Maiming	Shield, Ring, Amulet	SHIELD		14	MAXDMG	3	4	+[3-4] to Maximum Damage
Carnage	Ring, Amulet, Circlet, Helm	(rin OR amu OR CIRC OR HELM)		14	MAXDMG	11	14	+[11-14] to Maximum Damage
Butchery	WeaponP	(WEAPON !STAFF !WAND !SOR)		14	MAXDMG	21	40	+[21-40] to Maximum Damage
Evisceration	Missile Weapon	(BOW OR XBOW)		14	MAXDMG	41	63	+[41-63] to Maximum Damage
Fortune	Boots, Gloves, Amulet, Circlet, Helm, Quiver, Ring	(BOOTS OR GLOVES OR amu OR CIRC OR HELM OR QUIVER OR rin)		22	MFIND	16	25	[16-25]% Better Chance of Getting Magic Items
Performance	Ring, Amulet, Circlet, Helm	(rin OR amu OR CIRC OR HELM)		15	MINDMG	10	13	+[10-13] to Minimum Damage
Transcendence	WeaponP	(WEAPON !STAFF !WAND !SOR)		15	MINDMG	15	20	+[15-20] to Minimum Damage
Fast Repair	Non-Throwing Melee WeaponPS, Armor	((WEAPON !BOW !XBOW !THROWING !SOR !WAND) OR ARMOR)		37	REPAIR	0	5	Repairs 1 Durability in 20 seconds
Regeneration	Scepter, Belt, Ring, Amulet, Circlet, Shield, Gloves, Chest, Non-Scepter Weapon, Boots	(WEAPON OR BELT OR rin OR amu OR CIRC OR SHIELD OR GLOVES OR CHEST OR BOOTS)		19	REPLIFE	6	10	Replenish Life +[6-10]
Regrowth	Belt, Ring	(BELT OR rin)		19	REPLIFE	12	18	Replenish Life +[12-18]
Revivification	Scepter, Amulet, Circlet	(SCEPTER OR amu OR CIRC)		19	REPLIFE	22	30	Replenish Life +[22-30]
Sorcery	Amulet, Orb, Circlet, Wand, Staff, Quiver, Helm, Chest, Shield, Helm, Scepter, Ring	(QUIVER OR SCEPTER OR rin)		23	STAT1	11	15	+[11-15] to Energy
Enlightenment	Amulet, Orb, Circlet, Wand, Staff, Helm, Chest, Shield	(amu OR SOR OR CIRC OR WAND OR STAFF OR HELM OR CHEST OR SHIELD)		23	STAT1	21	30	+[21-30] to Energy
Remedy	Armor, Ring, Amulet, Circlet, Quiver	(ARMOR OR rin OR amu OR CIRC OR QUIVER)		29	STAT110	25	25	Poison Length Reduced by 25%
Defiance	Chest, Shield, Amulet, Circlet, Quiver	(CHEST OR SHIELD OR amu OR CIRC OR QUIVER)		29	STAT110	75	75	Poison Length Reduced by 75%
Piercing	Rod, Knife, Claw	(STAFF OR WAND OR SCEPTER OR DAGGER OR SIN)		4	STAT115	1	1	Ignore Target's Defense
Vileness	Melee WeaponPS, Quiver	((WEAPON !WAND !SOR) OR QUIVER)		20	STAT117	1	1	Prevent Monster Heal
