Item Type	Filter Code	ID	Affix	Attributes	Magic Only	alvl	rlvl	freq	group	Changes
Non-class Helms	HELM AND !CLASS	143/144	Sturdy	+[20-30]% Enhanced Defense		1-41	3	14	101	added max alvl, increased frequency
Non-class Helms	HELM AND !CLASS	145	Strong	+[31-40]% Enhanced Defense		9-49	6	12	101	added max alvl, increased frequency
Non-class Helms	HELM AND !CLASS	146	Glorious	+[41-50]% Enhanced Defense		19-59	14	12	101	added max alvl, increased frequency
Non-class Helms	HELM AND !CLASS	147	Blessed	+[51-65]% Enhanced Defense		25	18	11	101	increased frequency
Non-class Helms	HELM AND !CLASS	148	Saintly	+[66-80]% Enhanced Defense		31	23	11	101	increased frequency
Non-class Helms	HELM AND !CLASS	149	Holy	+[81-100]% Enhanced Defense		36	27	9	101	increased frequency
Non-class Helms	HELM AND !CLASS	150	Godly	+[101-200]% Enhanced Defense		45	38	6	101	was 1, increased frequency
Non-class Helms	HELM AND !CLASS	26	Bronze	+[10-20] to Attack Rating		1-41	1	8	110	added max alvl, added Helm, Chest, Gloves
Non-class Helms	HELM AND !CLASS	27	Iron	+[21-40] to Attack Rating		4-44	3	8	110	added max alvl, added Helm, Chest, Gloves
Non-class Helms	HELM AND !CLASS	28	Steel	+[41-60] to Attack Rating		8	6	7	110	added Helm, Chest, Gloves
Non-class Helms	HELM AND !CLASS	29	Silver	+[61-80] to Attack Rating		12	9	7	110	added Helm, Chest, Gloves, Quiver
Non-class Helms	HELM AND !CLASS	31	Gold	+[81-100] to Attack Rating		17	12	6	110	added Helm, Chest, Gloves, Quiver
Non-class Helms	HELM AND !CLASS	32	Platinum	+[101-120] to Attack Rating		22	16	6	110	added Helm, Chest, Gloves, Quiver
Non-class Helms	HELM AND !CLASS		Visionary	[1-99]% Bonus to Attack Rating (1% per Level)		25	18	1	111	
Non-class Helms	HELM AND !CLASS	266	Glimmering	+1 to Light Radius		1-41	1	1	112	added max alvl
Non-class Helms	HELM AND !CLASS	267	Glowing	+2 to Light Radius		6-46	4	1	112	added max alvl
Non-class Helms	HELM AND !CLASS		Felicitous	[5-10]% Better Chance of Getting Magic Items		5	3	4	114	added Helm
Non-class Helms	HELM AND !CLASS		Fortuitous	[11-15]% Better Chance of Getting Magic Items		12	8	4	114	was 1, added Helm
Non-class Helms	HELM AND !CLASS		Lizard's	+[1-2] to Mana		1-2	1	4	115	
Non-class Helms	HELM AND !CLASS		Lizard's	+[3-5] to Mana		3-43	2	4	115	added max alvl
Non-class Helms	HELM AND !CLASS	540	Mnemonic	+[0-74] to Mana (+0.75 per Level)		25	18	1	115	
Non-class Helms	HELM AND !CLASS	328	Shimmering	All Resistances +[3-7]		8-48	6	5	116	added max alvl, added Helm
Non-class Helms	HELM AND !CLASS	329	Rainbow	All Resistances +[8-11]		21	15	5	116	added Helm
Non-class Helms	HELM AND !CLASS	330	Scintillating	All Resistances +[12-15]		34	25	5	116	added Quiver & Helm
Non-class Helms	HELM AND !CLASS	327	Chromatic	All Resistances +[21-30]		50	42	4	116	was 1, added Chest & Helm
Non-class Helms	HELM AND !CLASS		Azure	Cold Resist +5%		1-4	1	3	117	
Non-class Helms	HELM AND !CLASS		Azure	Cold Resist +[5-10]%		5-45	3	2	117	added max alvl, added Quiver
Non-class Helms	HELM AND !CLASS		Lapis	Cold Resist +[11-20]%		12	9	4	117	added Quiver
Non-class Helms	HELM AND !CLASS		Cobalt	Cold Resist +[21-30]%		18	13	3	117	added Quiver
Non-class Helms	HELM AND !CLASS	355	Sapphire	Cold Resist +[31-40]%		25	18	3	117	added Chest, Helm & Shield
Non-class Helms	HELM AND !CLASS		Crimson	Fire Resist +5%		1-4	1	3	118	
Non-class Helms	HELM AND !CLASS		Crimson	Fire Resist +[5-10]%		5-45	3	4	118	added max alvl, added Quiver
Non-class Helms	HELM AND !CLASS		Russet	Fire Resist +[11-20]%		12	9	4	118	added Quiver
Non-class Helms	HELM AND !CLASS		Garnet	Fire Resist +[21-30]%		18	13	3	118	added Quiver
Non-class Helms	HELM AND !CLASS	374	Ruby	Fire Resist +[31-40]%		25	18	3	118	added Chest, Helm & Shield
Non-class Helms	HELM AND !CLASS		Tangerine	Lightning Resist +5%		1-4	1	3	119	
