Item Type	Filter Code	ID	Affix	Attributes	Magic Only	alvl	rlvl	freq	group	Changes
Non-class Helms	HELM AND !CLASS		Craftsmanship	+[1-2] to Maximum Damage		1-7	1	4	14	added Helm
Non-class Helms	HELM AND !CLASS		Craftsmanship	+[2-3] to Maximum Damage		8-14	6	4	14	added Helm
Non-class Helms	HELM AND !CLASS		Craftsmanship	+[4-5] to Maximum Damage		15-55	11	4	14	added max alvl, added Helm
Non-class Helms	HELM AND !CLASS		Quality	+[6-7] to Maximum Damage		23-29	17	4	14	added Helm
Non-class Helms	HELM AND !CLASS		Quality	+[7-8] to Maximum Damage		30-70	22	4	14	added max alvl, added Helm
Non-class Helms	HELM AND !CLASS		Maiming	+[9-10] to Maximum Damage	1	37-44	29	4	14	added Helm
Non-class Helms	HELM AND !CLASS		Maiming	+[11-12] to Maximum Damage	1	45	37	4	14	added Helm
Non-class Helms	HELM AND !CLASS		Carnage	+[11-14] to Maximum Damage		71	58	2	14	new
Non-class Helms	HELM AND !CLASS		Worth	+[2-3] to Minimum Damage		15-55	11	4	15	added max alvl, added Helm
Non-class Helms	HELM AND !CLASS		Measure	+[4-5] to Minimum Damage		37-77	29	4	15	added max alvl, added Helm
Non-class Helms	HELM AND !CLASS		Excellence	+[6-9] to Minimum Damage		59	51	4	15	added Helm
Non-class Helms	HELM AND !CLASS		Performance	+[10-13] to Minimum Damage		81	63	2	15	was 1, rlvl was 73, frequency was 4
Non-class Helms	HELM AND !CLASS	240	Dexterity	+[1-2] to Dexterity		1-41	1	4	17	added max alvl, added Helm
Non-class Helms	HELM AND !CLASS	241	Skill	+[3-5] to Dexterity		11-51	8	3	17	added max alvl, added Quiver, added Helm
Non-class Helms	HELM AND !CLASS	242	Accuracy	+[6-9] to Dexterity		27	20	3	17	added Quiver, added Helm
Non-class Helms	HELM AND !CLASS	243	Precision	+[10-15] to Dexterity		43	35	3	17	added Quiver, added Helm
