ID	Affix	Attributes	Item Types	Magic Only	alvl	rlvl	freq	group	Changes
115	Health	Physical Damage Taken Reduced by 1	Chest, Shield, Ring, Amulet, Circlet, Quiver		7-47	5	4	1	added max alvl, added Quiver
116	Protection	Physical Damage Taken Reduced by 2	Ring, Amulet, Circlet, Quiver		18-48	13	4	1	added max alvl, added Quiver
120	Protection	Physical Damage Taken Reduced by 2	Chest, Shield, Circlet		24-64	18	4	1	added max alvl
117	Absorption	Physical Damage Taken Reduced by 3	Amulet, Circlet, Quiver		26-66	19	4	1	added max alvl, added Quiver
121	Absorption	Physical Damage Taken Reduced by 3	Chest, Shield, Circlet, Ring		32-72	24	4	1	added max alvl, added Ring
118	Life	Physical Damage Taken Reduced by 4	Amulet, Circlet, Quiver		35	26	4	1	added Quiver
122	Life	Physical Damage Taken Reduced by [4-7]	Chest, Shield, Circlet, Ring		41	33	4	1	added Ring
123	Amicae	Physical Damage Taken Reduced by [8-15]	Chest, Shield, Circlet, Amulet		51	43	4	1	was 1, added Amulet
119	Life Everlasting	Physical Damage Taken Reduced by [10-25]	Amulet, Circlet	1	45	37	4	1	
979	Life Everlasting	Physical Damage Taken Reduced by [10-25]	Chest, Shield		45	37	4	1	new
124	Warding	Magic Damage Taken Reduced by [1-2]	Chest, Shield, Ring, Amulet, Orb, Circlet, Quiver		7-47	5	4	2	added max alvl, added Quiver, reduction was 1
125	Sentinel	Magic Damage Taken Reduced by [2-4]	Ring, Amulet, Orb, Circlet, Quiver		18	12	4	2	added Quiver, reduction was 2
128	Sentinel	Magic Damage Taken Reduced by [2-4]	Chest, Shield, Circlet		24-64	18	4	2	reduction was 2, added max alvl
126	Guarding	Magic Damage Taken Reduced by [3-6]	Amulet, Orb, Circlet, Quiver		26	19	4	2	added Quiver, reduction was 3
129	Guarding	Magic Damage Taken Reduced by [3-6]	Chest, Shield, Circlet, Ring		32	24	4	2	added Ring, reduction was 3
130	Negation	Magic Damage Taken Reduced by [8-12]	Chest, Shield, Circlet	1	41	33	4	2	reduction was [4-6]
